,,,,,contextRef,#text
0,RAN,,,,m1,Moody's Investors Service
1,FCD,,,,m1,2022-07-15
2,OD,OSC,,,m1,US Public
3,OD,OBNAME,,,m1,"Travis County Healthcare District, TX"
4,OD,OI,,,m1,907165001
5,OD,OIS,,,m1,NRSRO
6,OD,ORD,IP,,m1,true
7,OD,ORD,R,,m1,Aa2
8,OD,ORD,RAD,,m1,2021-06-07
9,OD,ORD,RAC,,m1,NW
10,OD,ORD,RT,,m1,Organization
11,OD,ORD,RTT,,m1,ISSUER RATING
12,ISD,SSC,,,m1,US Public
13,ISD,ISSNAME,,,m1,"Travis County Healthcare District, TX"
14,ISD,ISI,,,m1,907165001
15,ISD,ISIS,,,m1,NRSRO
16,ISD,IND,OBT,,m1,Other
17,ISD,IND,INSTNAME,,m1,LT SR GOLT UNDERLYING
18,ISD,IND,CUSIP,,m1,89439YAR0
19,ISD,IND,MD,,m1,2022-03-01
20,ISD,IND,INRD,IP,m1,false
21,ISD,IND,INRD,R,m1,Aa2
22,ISD,IND,INRD,RAD,m1,2021-06-07
23,ISD,IND,INRD,RAC,m1,NW
24,ISD,IND,INRD,RT,m1,Instrument
25,ISD,IND,INRD,RTT,m1,LT SR GOLT UNDERLYING
